1 input_2_1 AGM6 Test Case.asc  Feb 17 2025 12:34:45
  0  0 53
time,vmach_m1,psiblx_m1,thtblx_m1,phiblx_m1,SBEL1_m1,SBEL2_m1,SBEL3_m1,VBEL1_m1,VBEL2_m1,VBEL3_m1,mseek_m1,mach_t1,SAEL1_t1,SAEL2_t1,SAEL3_t1,VAEL1_t1,VAEL2_t1,VAEL3_t1,psivlx_t1,thtvlx_t1,alt_t1,aax_t1,alx_t1,anx_t1,mach_a1,SAEL1_a1,SAEL2_a1,SAEL3_a1,VAEL1_a1,VAEL2_a1,VAEL3_a1,psivlx_a1,thtvlx_a1,alt_a1,STCEL11_a1,STCEL12_a1,STCEL13_a1,VTCEL11_a1,VTCEL12_a1,VTCEL13_a1,STCEL21_a1,STCEL22_a1,STCEL23_a1,VTCEL21_a1,VTCEL22_a1,VTCEL23_a1,STCEL31_a1,STCEL32_a1,STCEL33_a1,VTCEL31_a1,VTCEL32_a1,VTCEL33_a1,
44,1.37821,12.475,6.51688,0.198813,15604.4,1898.25,-7795.05,417.119,107.931,-25.33,2,0.01471,33089.3,9806.37,-100,3.80266,-3.24663,0,-40.49,-0,100,0,0.01,1,0.958239,13045.5,0,-6784.36,300.083,0,5.0166,0,-0.957746,6784.36,33099.2,9786.39,-105.005,3.6521,-3.00944,0.431878,0,0,0,0,0,0,0,0,0,0,0,0,
45,1.38984,12.8979,5.80702,0.184918,16023,2008.05,-7818.67,420.148,111.689,-21.848,2,0.01471,33093.1,9803.16,-100,3.86569,-3.17133,0,-39.3648,-0,100,0,0.01,1,0.958698,13345.7,0,-6779.34,300.247,0,5.01933,0,-0.957746,6779.34,33080.9,9827.7,-109.224,3.0607,-3.41837,0.520369,0,0,0,0,0,0,0,0,0,0,0,0,
46,1.40161,13.3221,5.08103,0.167287,16444.7,2121.66,-7838.62,423.176,115.546,-17.9779,2,0.01471,33097,9800.03,-100,3.92722,-3.09481,0,-38.2396,-0,100,0,0.01,1,0.959157,13646,0,-6774.32,300.41,0,5.02207,0,-0.957746,6774.32,33078.1,9816.25,-78.4567,4.53318,-2.87743,-0.674798,0,0,0,0,0,0,0,0,0,0,0,0,
47,1.41349,13.7383,4.29872,0.148874,16869.4,2239.17,-7854.51,426.196,119.47,-13.7496,2,0.01471,33101,9796.97,-100,3.98724,-3.01709,0,-37.1144,-0,100,0,0.01,1,0.959616,13946.5,0,-6769.3,300.574,0,5.02481,0,-0.957746,6769.3,33097.7,9793.83,-91.9816,3.79623,-2.85732,0.103112,0,0,0,0,0,0,0,0,0,0,0,0,
48,1.4255,14.1688,3.44981,0.123765,17297.1,2360.62,-7865.97,429.202,123.462,-9.08035,2,0.01471,33105,9793.99,-100,4.04572,-2.93822,0,-35.9892,-0,100,0,0.01,1,0.960075,14247.1,0,-6764.27,300.738,0,5.02755,0,-0.957746,6764.27,33094.9,9797.43,-89.7668,3.55748,-3.01663,-0.138304,0,0,0,0,0,0,0,0,0,0,0,0,
49,1.43761,14.5986,2.54976,0.0943957,17727.8,2486.12,-7872.52,432.178,127.532,-3.94491,2,0.0147101,33109.1,9791.09,-100,4.10264,-2.8582,0,-34.864,-0,100,0,0.01,1,0.960533,14547.9,0,-6759.24,300.902,0,5.03029,0,-0.957746,6759.24,33113.9,9799.14,-126.67,3.73823,-3.41083,0.629665,0,0,0,0,0,0,0,0,0,0,0,0,
50,1.44982,15.0153,1.6056,0.0641188,18161.4,2615.71,-7873.7,435.111,131.65,1.67104,2,0.0147101,33113.2,9788.28,-100,4.15797,-2.77709,0,-33.7388,-0,100,0,0.01,1,0.960992,14848.9,0,-6754.21,301.065,0,5.03302,0,-0.957746,6754.21,33126.6,9757.55,-105.827,4.01665,-3.1678,0.0565649,0,0,0,0,0,0,0,0,0,0,0,0,
51,1.46211,15.446,0.608784,0.0330243,18598,2749.43,-7869.02,437.987,135.801,7.77283,2,0.0147101,33117.4,9785.54,-100,4.21171,-2.6949,0,-32.6136,-0,100,0,0.01,1,0.96145,15150.1,0,-6749.18,301.229,0,5.03576,0,-0.957746,6749.18,33127.6,9750.82,-85.4518,4.13475,-2.50177,0.248888,0,0,0,0,0,0,0,0,0,0,0,0,
52,1.47444,15.9168,-0.433752,-0,19037.3,2887.34,-7857.98,440.765,140.037,14.3791,2,0.0147101,33121.6,9782.89,-100,4.26382,-2.61168,0,-31.4884,-0,100,0,0.01,1,0.961909,15451.4,0,-6744.14,301.393,0,5.0385,0,-0.957746,6744.14,33121.5,9776.34,-97.9507,3.65788,-2.45577,-1.21124,0,0,0,0,0,0,0,0,0,0,0,0,
53,1.48679,16.3911,-1.5284,-0.0359387,19479.4,3029.54,-7840.09,443.407,144.394,21.487,2,0.0147101,33125.9,9780.32,-100,4.31428,-2.52745,0,-30.3632,-0,100,0,0.01,1,0.962367,15752.9,0,-6739.1,301.557,0,5.04124,0,-0.957746,6739.1,33142,9768.69,-133.553,3.91671,-2.15079,-0.562663,0,0,0,0,0,0,0,0,0,0,0,0,
