1 input_climb.asc HYPER3 Two-phased climb  ' HYPER3 ' Dec 31 2024 09:11:24
  0  0 23
time,FSPV1,FSPV2,FSPV3,pdynmc,mach,lonx,latx,alt,dvbe,psivgx,thtvgx,SBEG1,SBEG2,SBEG3,VBEG1,VBEG2,VBEG3,throttle,mass,thrust,fmassr,cl_ov_cd,
15.2,6.4199,0,-12.8546,49124.7,1.05896,-80.5123,28.43,3884.62,344.243,90.1306,18.6785,-4.42015,3688.8,-884.618,-0.743178,326.112,-110.246,1.42668,135203,3.15229e+06,80771.9,0.701564,
15.4,5.98196,0,-12.8154,49185.2,1.06113,-80.5116,28.43,3906.76,344.852,90.1322,18.7993,-4.56979,3754.06,-906.756,-0.753148,326.454,-111.13,1.41045,135185,3.09531e+06,80753.8,0.699498,
15.6,5.71043,0,-12.7816,49223,1.06308,-80.5109,28.43,3929.07,345.387,90.1338,18.9189,-4.7214,3819.37,-929.068,-0.762974,326.728,-111.985,1.40094,135167,3.05985e+06,80735.9,0.697648,
15.8,5.54698,0,-12.751,49246.1,1.06489,-80.5103,28.43,3951.55,345.875,90.1354,19.0376,-4.87497,3884.74,-951.549,-0.772711,326.957,-112.82,1.39585,135149,3.03836e+06,80718,0.695933,
16,5.45373,0,-12.7226,49259.7,1.0666,-80.5096,28.43,3974.2,346.335,90.137,19.1553,-5.03048,3950.16,-974.195,-0.782393,327.158,-113.643,1.39366,135131,3.02594e+06,80700.3,0.694302,
16.2,5.40611,0,-12.6955,49267,1.06827,-80.5089,28.43,3997.01,346.777,90.1386,19.2721,-5.18793,4015.61,-997.005,-0.792046,327.343,-114.455,1.39336,135114,3.01942e+06,80682.6,0.69272,
16.4,5.38812,0,-12.6692,49270.3,1.0699,-80.5082,28.43,4019.98,347.208,90.1402,19.3882,-5.3473,4081.09,-1019.98,-0.801685,327.518,-115.262,1.39432,135096,3.01673e+06,80664.9,0.691165,
16.6,5.38938,0,-12.6432,49271,1.07153,-80.5076,28.43,4043.11,347.635,90.1419,19.5035,-5.5086,4146.61,-1043.11,-0.81132,327.687,-116.063,1.39608,135078,3.01652e+06,80647.2,0.689623,
16.8,5.40314,0,-12.6175,49270,1.07314,-80.5069,28.4299,4066.4,348.059,90.1435,19.618,-5.67183,4212.17,-1066.4,-0.820958,327.854,-116.86,1.39839,135061,3.01793e+06,80629.6,0.688084,
17,5.42499,0,-12.5917,49268,1.07477,-80.5062,28.4299,4089.85,348.484,90.1451,19.7317,-5.83698,4277.75,-1089.85,-0.830604,328.021,-117.654,1.40105,135043,3.02038e+06,80611.9,0.686541,
17.2,5.45208,0,-12.5659,49265.2,1.07639,-80.5056,28.4299,4113.46,348.909,90.1467,19.8447,-6.00407,4343.38,-1113.46,-0.840262,328.189,-118.445,1.40394,135025,3.0235e+06,80594.2,0.684992,
17.4,5.48256,0,-12.54,49262,1.07803,-80.5049,28.4299,4137.23,349.337,90.1483,19.9569,-6.17309,4409.03,-1137.23,-0.849934,328.358,-119.233,1.407,135008,3.02705e+06,80576.5,0.683433,
17.6,5.51521,0,-12.5138,49258.6,1.07968,-80.5042,28.4299,4161.16,349.768,90.1499,20.0683,-6.34404,4474.72,-1161.16,-0.859621,328.53,-120.019,1.41017,134990,3.03089e+06,80558.9,0.681862,
17.8,5.54924,0,-12.4875,49254.9,1.08134,-80.5036,28.4299,4185.24,350.201,90.1515,20.1789,-6.51694,4540.44,-1185.24,-0.869324,328.705,-120.803,1.41341,134972,3.0349e+06,80541.2,0.680279,
18,5.58414,0,-12.461,49251.2,1.08302,-80.5029,28.4299,4209.48,350.638,90.1531,20.2888,-6.69177,4606.2,-1209.48,-0.879045,328.882,-121.585,1.4167,134954,3.03901e+06,80523.5,0.678683,
18.2,5.61958,0,-12.4342,49247.4,1.08471,-80.5022,28.4299,4233.87,351.079,90.1548,20.3979,-6.86856,4672,-1233.87,-0.888784,329.063,-122.364,1.42004,134937,3.0432e+06,80505.8,0.677072,
18.4,5.65533,0,-12.4072,49243.6,1.08641,-80.5015,28.4299,4258.42,351.523,90.1564,20.5062,-7.04729,4737.83,-1258.42,-0.898542,329.247,-123.141,1.42341,134919,3.04742e+06,80488.1,0.675448,
18.6,5.69127,0,-12.3799,49239.7,1.08813,-80.5009,28.4299,4283.13,351.971,90.158,20.6136,-7.22798,4803.69,-1283.13,-0.90832,329.435,-123.916,1.42681,134901,3.05166e+06,80470.3,0.673809,
18.8,5.72729,0,-12.3524,49235.9,1.08987,-80.5002,28.4299,4307.99,352.423,90.1596,20.7203,-7.41062,4869.6,-1307.99,-0.918118,329.626,-124.689,1.43022,134884,3.05591e+06,80452.6,0.672155,
19,5.76334,0,-12.3246,49232.1,1.09162,-80.4995,28.4299,4333,352.878,90.1612,20.8261,-7.59522,4935.55,-1333,-0.927936,329.821,-125.46,1.43366,134866,3.06016e+06,80434.9,0.670486,
19.2,5.79937,0,-12.2966,49228.3,1.09338,-80.4988,28.4299,4358.17,353.338,90.1628,20.9311,-7.78179,5001.53,-1358.17,-0.937775,330.02,-126.228,1.43712,134848,3.0644e+06,80417.1,0.668802,
19.4,5.83537,0,-12.2683,49224.6,1.09516,-80.4982,28.4299,4383.5,353.801,90.1644,21.0353,-7.97034,5067.55,-1383.5,-0.947636,330.222,-126.994,1.4406,134830,3.06864e+06,80399.4,0.667103,
19.6,5.8713,0,-12.2397,49220.8,1.09696,-80.4975,28.4299,4408.97,354.268,90.166,21.1386,-8.16085,5133.62,-1408.97,-0.957518,330.428,-127.758,1.44409,134813,3.07286e+06,80381.6,0.665389,
19.8,5.90716,0,-12.2109,49217.1,1.09877,-80.4968,28.4299,4434.6,354.739,90.1676,21.2411,-8.35334,5199.72,-1434.6,-0.967424,330.638,-128.52,1.4476,134795,3.07707e+06,80363.8,0.66366,
20,5.94295,0,-12.1818,49213.4,1.10059,-80.4961,28.4299,4460.38,355.214,90.1693,21.3427,-8.54782,5265.87,-1460.38,-0.977352,330.852,-129.279,1.45113,134777,3.08127e+06,80346.1,0.661915,
20.2,5.97865,0,-12.1524,49209.8,1.10244,-80.4955,28.4299,4486.31,355.693,90.1709,21.4434,-8.74429,5332.07,-1486.31,-0.987303,331.07,-130.035,1.45467,134759,3.08545e+06,80328.3,0.660155,
20.4,6.01426,0,-12.1228,49206.2,1.10429,-80.4948,28.4299,4512.39,356.176,90.1725,21.5433,-8.94274,5398.3,-1512.39,-0.997278,331.292,-130.789,1.45823,134741,3.08962e+06,80310.5,0.658379,
20.6,6.04979,0,-12.0929,49202.6,1.10617,-80.4941,28.4299,4538.63,356.663,90.1741,21.6423,-9.1432,5464.58,-1538.63,-1.00728,331.518,-131.541,1.46181,134724,3.09378e+06,80292.7,0.656588,
20.8,6.08522,0,-12.0627,49199,1.10806,-80.4934,28.4299,4565.01,357.154,90.1757,21.7403,-9.34566,5530.91,-1565.01,-1.0173,331.748,-132.29,1.4654,134706,3.09791e+06,80274.9,0.654781,
21,6.12055,0,-12.0323,49195.5,1.10996,-80.4927,28.4299,4591.54,357.648,90.1773,21.8375,-9.55012,5597.28,-1591.54,-1.02735,331.983,-133.036,1.46901,134688,3.10204e+06,80257.1,0.652958,
21.2,6.15579,0,-12.0016,49192,1.11188,-80.4921,28.4299,4618.22,358.147,90.1789,21.9338,-9.7566,5663.7,-1618.22,-1.03743,332.222,-133.78,1.47264,134670,3.10614e+06,80239.2,0.651119,
21.4,6.19093,0,-11.9706,49188.5,1.11382,-80.4914,28.4299,4645.05,358.65,90.1805,22.0291,-9.9651,5730.17,-1645.05,-1.04753,332.465,-134.522,1.47628,134652,3.11023e+06,80221.4,0.649265,
21.6,6.22597,0,-11.9393,49185,1.11577,-80.4907,28.4299,4672.03,359.157,90.1821,22.1235,-10.1756,5796.69,-1672.03,-1.05766,332.712,-135.26,1.47994,134635,3.11431e+06,80203.6,0.647395,
21.8,6.26091,0,-11.9078,49181.6,1.11774,-80.49,28.4299,4699.16,359.668,90.1837,22.217,-10.3882,5863.26,-1699.16,-1.06782,332.964,-135.996,1.48361,134617,3.11836e+06,80185.7,0.645509,
22,6.29574,0,-11.876,49178.3,1.11972,-80.4894,28.4299,4726.43,360.183,90.1854,22.3095,-10.6027,5929.88,-1726.43,-1.078,333.22,-136.729,1.48731,134599,3.1224e+06,80167.9,0.643606,
22.2,6.33048,0,-11.8439,49174.9,1.12172,-80.4887,28.4299,4753.85,360.701,90.187,22.4011,-10.8194,5996.55,-1753.85,-1.08822,333.481,-137.459,1.49102,134581,3.12643e+06,80150,0.641688,
22.4,6.3651,0,-11.8115,49171.6,1.12374,-80.488,28.4299,4781.41,361.224,90.1886,22.4917,-11.038,6063.27,-1781.41,-1.09846,333.746,-138.186,1.49474,134563,3.13043e+06,80132.2,0.639753,
22.6,6.39963,0,-11.7788,49168.3,1.12578,-80.4873,28.4299,4809.12,361.752,90.1902,22.5814,-11.2588,6130.04,-1809.12,-1.10873,334.016,-138.911,1.49849,134545,3.13442e+06,80114.3,0.637802,
22.8,6.43398,0,-11.7459,49165.1,1.12783,-80.4866,28.4299,4836.98,362.283,90.1918,22.67,-11.4815,6196.87,-1836.98,-1.11903,334.291,-139.632,1.50231,134527,3.13839e+06,80096.4,0.635835,
23,6.4683,0,-11.7127,49161.8,1.12989,-80.4859,28.4299,4864.98,362.818,90.1934,22.7577,-11.7064,6263.76,-1864.98,-1.12937,334.57,-140.351,1.50619,134510,3.14234e+06,80078.6,0.633851,
23.2,6.50251,0,-11.6792,49158.7,1.13197,-80.4853,28.4299,4893.12,363.357,90.195,22.8444,-11.9333,6330.7,-1893.12,-1.13973,334.855,-141.066,1.51009,134492,3.14628e+06,80060.7,0.631851,
