1 input_SAM_RF_AC_Radar_#1_#2_#3.asc ' SAM2 vs AC2 ' Mar  6 2026 15:53:19
  0  0 93
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            cyb             
clnb            cna             clma            stmarg_pitch    gavail          
gmax            stmarg_yaw      dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            zacl            
pacl            wrcl            zrate           wnlagr          ancomx_test     
alcomx_test     dpx             dqx             drx             delx1           
delx2           delx3           delx4           miss            MISS1           
MISS2           MISS3           mode            dbt             psiptx          
thtptx          aztbx           eltbx           dab             ddab            
snr_db          onax            epsic           ethtc           psisb           
thtsb           lamdqb          lamdrb          
0               -0.00322065     0.0851568       -1.92076e-05    0.00323986      
0.0883775       0.00320144      -0.0819362      0               0               
0               0               120021          18394.4         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
137.6           0               2.232           0.542254        20543.1         
20.0002         50.0725         0.00329452      3.61102         0.00214133      
3.61102         0.000134867     -0.0080199      0.0959895       7.29649e-05     
117.907         42.9147         -127.251        184.366         127.251         
20.0001         46.4627         0.382819        -1.4673e-05     276.81          
31439.7         2.7855          2.6826          373.04          -15.9376        
-4.74996        16.2374         0.724639        -0.0446277      7.12412         
7.50437         -0.298034       18383.1         0               1               
0               0               0               0               0               
46.4787         19.9917         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               40.3527         0.321145        0               0               
0               -0.00265071     0.0800443       -1.95981e-05    0.00267031      
0.082695        0.00263112      -0.0773936      0               0               
0               0               120021          18382.9         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
137.7           0               2.332           0.5732          22917.3         
20.0003         50.0821         0.00303254      3.49585         0.00181189      
3.49585         0.000110482     -0.0270449      0.0947443       7.40723e-05     
130.165         47.3765         -141.011        194.851         141.011         
20.0001         46.5874         0.416265        -1.36511e-05    275.435         
31444.8         2.77925         2.6751          370.04          -15.9735        
-4.7642         16.27           0.711643        -0.0437395      8.15437         
8.56792         -0.298256       18370.7         0               1               
0               0               0               0               0               
46.6034         19.9916         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               43.8056         0.341345        0               0               
0               -0.00180116     0.0747354       -1.90623e-05    0.00182023      
0.0765366       0.0017821       -0.0729343      0               0               
0               0               120021          18370.5         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
137.8           0               2.432           0.604227        25421.4         
20.0003         50.0915         0.0025814       3.38318         0.00129273      
3.38318         7.62882e-05     -0.00445398     0.0930317       7.73259e-05     
143.073         52.0747         -155.561        205.359         155.561         
20.0001         46.7094         0.449927        -1.06666e-05    274.06          
31450.2         2.773           2.6676          367.04          -16.0087        
-4.77728        16.3027         0.698035        -0.0428171      9.2774          
9.72446         -0.298419       18357.3         0               1               
0               0               0               0               0               
46.7254         19.9914         -0.000810285    0               0               
0               0               -0              0               0               
